GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
argouml-core-model-mdr,org.argouml.model.mdr,CommonBehaviorHelperMDRImpl,1352,6,230,0,293,3,154,1,39,1
argouml-core-model-mdr,org.argouml.model.mdr,ModelManagementFactoryMDRImpl,177,40,22,2,56,15,25,4,13,4
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator,1124,14,18,0,322,5,111,2,102,2
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.BooleanSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,Registry,43,192,9,31,7,45,8,18,0,6
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.BooleanSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new ModelCommand() {...},32,0,0,0,7,0,5,0,5,0
argouml-core-model-mdr,org.argouml.model.mdr,XmiReferenceResolverImpl,427,631,56,50,87,141,42,27,4,12
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.BooleanSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.StringSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,MessageSortMDRImpl,12,3,0,0,6,1,6,1,6,1
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.BooleanSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,DataTypesHelperMDRImpl,315,6,30,0,77,3,32,1,17,1
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.StringSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,ActivityGraphsFactoryMDRImpl,275,6,30,0,88,3,32,1,17,1
argouml-core-model-mdr,org.argouml.model.mdr,ExtensionMechanismsHelperMDRImpl,879,56,138,0,205,14,98,2,29,2
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,CollaborationsFactoryMDRImpl,746,12,77,1,211,4,75,2,36,2
argouml-core-model-mdr,org.argouml.model.mdr,UndoDataTypesHelperDecorator,4,0,0,0,2,0,1,0,1,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.BooleanSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCollaborationsHelperDecorator,4,0,0,0,2,0,1,0,1,0
argouml-core-model-mdr,org.argouml.model.mdr,FacadeMDRImpl,7170,48,929,5,2134,17,872,6,406,5
argouml-core-model-mdr,org.argouml.model.mdr,MDRModelImplementation,254,760,30,34,60,187,33,63,10,54
argouml-core-model-mdr,org.argouml.model.mdr,UseCasesHelperMDRImpl,1029,6,152,0,224,3,99,1,23,1
argouml-core-model-mdr,org.argouml.model.mdr,ExtensionMechanismsFactoryMDRImpl,649,10,60,0,159,4,52,1,22,1
argouml-core-model-mdr,org.argouml.model.mdr,XmiReference,0,15,0,0,0,6,0,3,0,3
argouml-core-model-mdr,org.argouml.model.mdr,AbstractUmlModelFactoryMDR,0,4,0,0,0,3,0,2,0,2
argouml-core-model-mdr,org.argouml.model.mdr,UmlFactoryMDRImpl,2633,1367,520,8,625,74,291,8,31,4
argouml-core-model-mdr,org.argouml.model.mdr,UndoExtensionMechanismsHelperDecorator,4,0,0,0,2,0,1,0,1,0
argouml-core-model-mdr,org.argouml.model.mdr,MDRModelImplementation.Extent,11,26,0,0,2,7,2,2,2,2
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new ModelCommand() {...},32,0,0,0,7,0,5,0,5,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new ModelCommand() {...},32,0,0,0,7,0,5,0,5,0
argouml-core-model-mdr,org.argouml.model.mdr,XmiReferenceProviderImpl,53,12,10,0,14,5,6,1,1,1
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.StringSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,CollaborationsHelperMDRImpl,1952,16,329,1,430,6,203,2,38,2
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.ObjectSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoUseCasesHelperDecorator,4,0,0,0,2,0,1,0,1,0
argouml-core-model-mdr,org.argouml.model.mdr,ModelManagementHelperMDRImpl,1329,11,218,0,347,5,141,2,32,2
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.BooleanSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.BooleanSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,CoreHelperMDRImpl.new UndoCoreHelperDecorator.StringSetter() {...},15,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,CoreHelperMDRImpl.new ModelCommand() {...},38,0,0,0,8,0,6,0,6,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCoreHelperDecorator.new UndoCoreHelperDecorator.BooleanSetter() {...},17,0,0,0,3,0,2,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,KindsMDRImpl,68,6,0,0,31,3,31,1,31,1
argouml-core-model-mdr,org.argouml.model.mdr,UseCasesFactoryMDRImpl,361,6,40,0,108,3,37,1,17,1
argouml-core-model-mdr,org.argouml.model.mdr,CoreFactoryMDRImpl.new ModelCommand() {...},28,28,1,1,8,5,4,2,3,2
argouml-core-model-mdr,org.argouml.model.mdr,XmiHeaderProviderImpl,27,11,0,0,6,5,1,2,1,2
argouml-core-model-mdr,org.argouml.model.mdr,DataTypesFactoryMDRImpl,367,11,22,0,102,5,32,2,21,2
argouml-core-model-mdr,org.argouml.model.mdr,CoreFactoryMDRImpl,3685,69,461,1,917,23,373,6,142,6
argouml-core-model-mdr,org.argouml.model.mdr,XmiWriterMDRImpl,53,57,3,3,14,18,5,3,2,3
argouml-core-model-mdr,org.argouml.model.mdr,StateMachinesFactoryMDRImpl,967,16,115,1,290,6,112,2,54,2
argouml-core-model-mdr,org.argouml.model.mdr,ModelEventPumpMDRImpl,1004,625,91,53,213,165,73,39,22,18
argouml-core-model-mdr,org.argouml.model.mdr,UndoUmlHelperDecorator,4,0,0,0,2,0,1,0,1,0
argouml-core-model-mdr,org.argouml.model.mdr,CoreHelperMDRImpl,7404,38,1346,6,1651,11,849,3,173,3
argouml-core-model-mdr,org.argouml.model.mdr,StateMachinesHelperMDRImpl,1587,6,284,0,346,3,186,1,44,1
argouml-core-model-mdr,org.argouml.model.mdr,UndoStateMachinesHelperDecorator,4,0,0,0,2,0,1,0,1,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoCommonBehaviorHelperDecorator,4,0,0,0,2,0,1,0,1,0
argouml-core-model-mdr,org.argouml.model.mdr,MetaTypesMDRImpl,357,517,2,4,144,131,144,4,142,3
argouml-core-model-mdr,org.argouml.model.mdr,CollectionHelper,61,0,10,0,21,0,7,0,2,0
argouml-core-model-mdr,org.argouml.model.mdr,UndoActivityGraphsHelperDecorator,4,0,0,0,2,0,1,0,1,0
argouml-core-model-mdr,org.argouml.model.mdr,ActivityGraphsHelperMDRImpl,267,3,42,0,75,2,33,1,12,1
argouml-core-model-mdr,org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,1069,6,92,0,272,3,101,1,55,1
argouml-core-model-mdr,org.argouml.model.mdr,XmiReaderImpl,816,543,57,19,180,89,45,13,13,7
argouml-core-model-mdr,org.argouml.model.mdr,CopyHelper,125,6,20,0,27,3,12,1,2,1
argouml-core-model-mdr,org.argouml.model.mdr,UmlHelperMDRImpl,563,6,56,0,129,3,35,1,7,1
