GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
argouml-app,org.argouml.uml.ui.behavior.activity_graphs,ActionNewEntryCallAction,20,0,0,0,8,0,2,0,2,0
argouml-app,org.argouml.uml.ui.behavior.activity_graphs,ActionSetSynch,44,0,4,0,15,0,6,0,4,0
argouml-app,org.argouml.uml.ui.behavior.activity_graphs,ActionAddEventAsTrigger,68,0,6,0,21,0,9,0,6,0
argouml-app,org.argouml.uml.ui.behavior.activity_graphs,UMLActionSynchCheckBox,17,0,2,0,6,0,3,0,2,0
argouml-app,org.argouml.profile.internal.ocl.uml14,OclType,0,9,0,0,0,4,0,2,0,2
argouml-app,org.argouml.profile.internal.ocl.uml14,OclAPIModelInterpreter,98,60,21,11,20,13,14,5,1,2
argouml-app,org.argouml.profile.internal.ocl.uml14,CollectionsModelInterpreter,668,475,116,54,148,107,66,24,0,5
argouml-app,org.argouml.profile.internal.ocl.uml14,ModelAccessModelInterpreter,1029,370,269,91,249,92,174,11,1,4
argouml-app,org.argouml.profile.internal.ocl.uml14,HashBag,81,123,8,12,20,27,17,12,11,8
argouml-app,org.argouml.profile.internal.ocl.uml14,Uml14ModelInterpreter,59,18,6,0,10,5,5,1,2,1
argouml-app,org.argouml.profile.internal.ocl.uml14,OclEnumLiteral,33,0,4,0,9,0,5,0,3,0
argouml-app,org.argouml.notation.providers.uml,AbstractMessageNotationUml,935,2310,189,379,209,623,147,178,5,36
argouml-app,org.argouml.notation.providers.uml,ObjectNotationUml,120,27,15,3,30,9,11,3,2,3
argouml-app,org.argouml.notation.providers.uml,ClassifierRoleNotationUml,79,291,14,50,19,94,14,24,1,5
argouml-app,org.argouml.notation.providers.uml,AssociationRoleNotationUml,259,4,48,0,78,2,29,1,5,1
argouml-app,org.argouml.notation.providers.uml,OperationNotationUml,404,672,87,119,118,191,66,51,4,10
argouml-app,org.argouml.notation.providers.uml,NodeInstanceNotationUml,101,55,14,6,26,14,10,5,2,3
argouml-app,org.argouml.notation.providers.uml,MultiplicityNotationUml,77,4,0,0,25,2,5,1,5,1
argouml-app,org.argouml.notation.providers.uml,StateBodyNotationUml.ModelElementInfoList.InfoItem,4,33,0,0,2,10,1,5,1,5
argouml-app,org.argouml.notation.providers.uml,ExtensionPointNotationUml,126,52,20,5,41,12,18,3,4,3
argouml-app,org.argouml.notation.providers.uml,AssociationNameNotationUml,151,4,18,0,46,2,14,1,5,1
argouml-app,org.argouml.notation.providers.uml,EnumerationLiteralNotationUml,65,258,15,33,23,73,15,16,1,6
argouml-app,org.argouml.notation.providers.uml,MessageNotationUml,0,9,0,0,0,3,0,2,0,2
argouml-app,org.argouml.notation.providers.uml,ObjectFlowStateStateNotationUml,292,24,31,1,84,7,20,3,4,3
argouml-app,org.argouml.notation.providers.uml,NotationUtilityUml.new NotationUtilityUml.PropertyOperation() {...},6,16,4,2,1,6,3,2,0,2
argouml-app,org.argouml.notation.providers.uml,InitNotationUml,6,116,0,0,3,28,3,2,3,2
argouml-app,org.argouml.notation.providers.uml,ComponentInstanceNotationUml,119,41,17,3,28,12,12,3,2,3
argouml-app,org.argouml.notation.providers.uml,NotationUtilityUml.new NotationUtilityUml.PropertyOperation() {...},19,3,4,0,6,1,3,1,1,1
argouml-app,org.argouml.notation.providers.uml,NotationUtilityUml.new NotationUtilityUml.PropertyOperation() {...},10,3,2,0,4,1,2,1,1,1
argouml-app,org.argouml.notation.providers.uml,NotationUtilityUml.new NotationUtilityUml.PropertyOperation() {...},17,15,6,2,4,5,4,2,0,2
